sample_id,sample_date,chemical,chem_conc
Q1,1989-07-26,ca,4.41
Q1,1989-07-26,nh4_n,NA
Q1,1989-07-26,no3_n,119
Q1,1989-08-01,k,0.92
Q1,1989-08-01,mg,2.77
Q1,1989-08-01,ca,4.3
Q1,1989-08-01,nh4_n,NA
Q1,1989-08-01,no3_n,134
Q1,1989-08-08,k,0.99
Q1,1989-08-08,mg,2.99
Q1,1989-08-08,ca,4.61
Q1,1989-08-08,nh4_n,NA
Q1,1989-08-08,no3_n,91
Q1,1989-08-15,k,0.98
Q1,1989-08-15,mg,3.09
Q1,1989-08-15,ca,4.47
Q1,1989-08-15,nh4_n,NA
Q1,1989-08-15,no3_n,95
Q1,1989-08-22,k,0.9
Q1,1989-08-22,mg,1.33
Q1,1989-08-22,ca,1.22
Q1,1989-08-22,nh4_n,NA
Q1,1989-08-22,no3_n,200
Q1,1989-08-29,k,0.9
Q1,1989-08-29,mg,2.66
Q1,1989-08-29,ca,4.52
Q1,1989-08-29,nh4_n,NA
Q1,1989-08-29,no3_n,36
Q1,1989-09-05,k,0.87
Q1,1989-09-05,mg,2.96
Q1,1989-09-05,ca,4.75
Q1,1989-09-05,nh4_n,NA
Q1,1989-09-05,no3_n,22
Q1,1989-09-12,k,0.91
Q1,1989-09-12,mg,2.94
Q1,1989-09-12,ca,4.22
Q1,1989-09-12,nh4_n,NA
Q1,1989-09-12,no3_n,NA
Q1,1989-09-20,k,NA
Q1,1989-09-20,mg,NA
Q1,1989-09-20,ca,NA
Q1,1989-09-20,nh4_n,NA
Q1,1989-09-20,no3_n,NA
Q1,1989-09-22,k,0.99
Q1,1989-09-22,mg,2.48
Q1,1989-09-22,ca,3.88
Q1,1989-09-22,nh4_n,NA
Q1,1989-09-22,no3_n,10
Q1,1989-09-26,k,1.27
Q1,1989-09-26,mg,2.63
Q1,1989-09-26,ca,3.93
Q1,1989-09-26,nh4_n,NA
Q1,1989-09-26,no3_n,NA
Q1,1989-09-26,k,1.22
Q1,1989-09-26,mg,2.57
Q1,1989-09-26,ca,3.9
Q1,1989-09-26,nh4_n,NA
Q1,1989-09-26,no3_n,NA
Q1,1989-10-03,k,0.98
Q1,1989-10-03,mg,2.83
Q1,1989-10-03,ca,4.24
Q1,1989-10-03,nh4_n,NA
Q1,1989-10-03,no3_n,NA
Q1,1989-10-05,k,1.26
Q1,1989-10-05,mg,NA
Q1,1989-10-05,ca,NA
Q1,1989-10-05,nh4_n,NA
Q1,1989-10-05,no3_n,NA
Q1,1989-10-10,k,0.91
Q1,1989-10-10,mg,2.87
Q1,1989-10-10,ca,4.31
Q1,1989-10-10,nh4_n,NA
Q1,1989-10-10,no3_n,89
Q1,1989-10-17,k,1.04
Q1,1989-10-17,mg,2.92
Q1,1989-10-17,ca,4.42
Q1,1989-10-17,nh4_n,NA
Q1,1989-10-17,no3_n,NA
Q1,1989-10-24,k,1.19
Q1,1989-10-24,mg,2.95
Q1,1989-10-24,ca,4.48
Q1,1989-10-24,nh4_n,NA
Q1,1989-10-24,no3_n,251
Q1,1989-10-31,k,1.23
Q1,1989-10-31,mg,3.97
Q1,1989-10-31,ca,4.14
Q1,1989-10-31,nh4_n,NA
Q1,1989-10-31,no3_n,338
Q1,1989-11-07,k,1.66
Q1,1989-11-07,mg,3.13
Q1,1989-11-07,ca,4.25
Q1,1989-11-07,nh4_n,NA
Q1,1989-11-07,no3_n,420
Q1,1989-11-08,k,2.63
Q1,1989-11-08,mg,3.1
Q1,1989-11-08,ca,4.24
Q1,1989-11-08,nh4_n,NA
Q1,1989-11-08,no3_n,1365
Q1,1989-11-14,k,1.33
Q1,1989-11-14,mg,3.13
Q1,1989-11-14,ca,4.31
Q1,1989-11-14,nh4_n,NA
Q1,1989-11-14,no3_n,291
Q1,1989-11-21,k,1.13
Q1,1989-11-21,mg,3.07
Q1,1989-11-21,ca,4.3
Q1,1989-11-21,nh4_n,NA
Q1,1989-11-21,no3_n,156
Q1,1989-11-28,k,0.93
Q1,1989-11-28,mg,3.19
Q1,1989-11-28,ca,5.52
Q1,1989-11-28,nh4_n,NA
Q1,1989-11-28,no3_n,185
Q1,1989-12-05,k,0.82
Q1,1989-12-05,mg,3.19
Q1,1989-12-05,ca,5.69
Q1,1989-12-05,nh4_n,NA
Q1,1989-12-05,no3_n,147
Q1,1989-12-12,k,0.83
Q1,1989-12-12,mg,3.29
Q1,1989-12-12,ca,5.91
